Student ID,Peer Review 1 Title,Peer Review 1 Filename,Peer Review 2 Title,Peer Review 2 Filename
6739500,Pitch Perfect: Optimizing Baseball Pitch Selection With Reinforcement Learning,266.pdf,Anticipating the Odds: A Lookahead Method for Blackjack Actor Development,137.pdf
6319203,Multi-Robot Path Planning in a Grid World,143.pdf,Dynamic Optimization and Balancing of Winning Strategies in Mahjong Using MCTS,240.pdf
6855642,Q-Learning-Driven Actuation for High-Precision Space Trusses,135.pdf,Modeling Stanford Football Betting as a Markov Decision Process,023.pdf
6379252,Fast Speculative Decoding using MDPs for Efficient Token Drafting,182.pdf,Reward Prediction Error Under Uncertainty,083.pdf
6735652,Fresh Pages: Dynamic Book Recommendation for Genre Exploration using Monte Carlo Tree Search,239.pdf,Tactile Graphics Exploration as a POMDP,246.pdf
6335142,Unbeatable Checkers Bot 9000,268.pdf,Reinforcement Learning Agent for Cine2Nerdle: A Graph-Based Approach,122.pdf
6417074,RL For Self Guided Rocket Landings,196.pdf,Optimizing Trading Strategies with MDPs,016.pdf
6422870,"Building No-Limit Texas Hold
‘Em Poker Agents
with Deep Q-Learning and 
Proximal Policy Optimization",172.pdf,Wheel of Fortune as a POMDP,202.pdf
6504189,"Stanford Campus Smart Traffic
Control",007.pdf,Online Path-Planning for Terrain Navigation Using MCTS,115.pdf
6512336,Settling On A Better Method for Training Catan-Playing Agents,194.pdf,Deep Q-learning on 3D 2048,261.pdf
6504508,Evade me if you can!!,092.pdf,ParkFinder - Tackling Uncertainty in Finding Parking at Stanford University,055.pdf
6057096,Blackjack: Playing Optimally Through Q-Learning,187.pdf,Adaptive Stock Trading with Reinforcement Learning,228.pdf
6756966,Dynamical Tasks Planner,212.pdf,SupeRL Mario Bros,222.pdf
6846842,"BlackJack: Q-Learning, SARSA, and Deep Q-Learning Approaches",010.pdf,"Pick Your Poison: Navigating the Paris Public Transportation System Using Monte Carlo Tree Search
",082.pdf
6853225,Lima’s Traffic Management Using POMDPs: A Q-Learning Approach for Efficient Control of Urban Traffic Lights,123.pdf,PERLHF: Parameter Efficient Reinforcement Learning from Human Feedback,214.pdf
6846519,Q-Learning for Blackjack: Simulation and Strategy Optimization,234.pdf,RL Options Trading Strategies,070.pdf
6453054,Applying MDPs and POMDPs to Enhance Decision-Making in Mario Party,166.pdf,MDP is All You Need,237.pdf
6496664,Crack The Board,139.pdf,RL Approaches to Optimize Supply Chain Dynamics in the Beer Game,048.pdf
6421572,Pandemic Policy Planning in a Noncompliant Population,079.pdf,Analysis of Q-Learning and POMDP Frameworks for Optimal Poker Strategies,076.pdf
6750187,Autonomous Cruise with Markov Decision Processes,094.pdf,Adaptive Strategy Optimization for 2048 Using Reinforcement Learning,087.pdf
6846131,POMDP Knowledge Tracing,128.pdf,Learning to Play the Oh Pshaw Card Game using a Reinforcement Learning Agent,033.pdf
6260168,The Pupper Parkour Challenge and a theoretical framework for hierarchical decision making,112.pdf,AI Want to Be The Very Best,249.pdf
6136144,MDPs for Fire Response,013.pdf,Optimal Strategies in Penalty Shootouts,151.pdf
6647269,DPO Training for Mathematical Problem Solving,027.pdf,"Flying in the Dark – Drone Swarm Navigation with Uncertain Communication and Vision
",056.pdf
6682276,Investment Decision Making,257.pdf,RoadSense: Intelligent Agents for Traffic Navigation,028.pdf
6371168,Deep Q-Networks with Snake,269.pdf,Q-Learning for Multi-Modal Seaglider Control,138.pdf
6605306,Learning the Art of Persuasion with Online Dialog Policy Planning,080.pdf,The Candy Crusher,117.pdf
6503940,Trajectory Planning in Unknown Environment,220.pdf,"Multi-Method Learning Approaches to Codenames: A Comparative Study of MCTS, Fast Informed Bounds, and Policy Gradient Methods",205.pdf
6376529,ORRCA: Online Reinforcement for Rapid Cache Adaptation,168.pdf,Modeling Mafia with Q-Learning,121.pdf
6841629,Playing Battleship Game with Deep Reinforcement Learning,259.pdf,Wordle MCS: An Improved Wordle Solver,062.pdf
6416493,Smart Picks – A Q-Learning Approach to Cinema,039.pdf,POMDPs for Cervical Cancer Screening,132.pdf
6626241,Safe Handling of Intersection Events under other agents’ Latent Driving styles (SHIELD),052.pdf,Pedagogical Bandits: Online Curriculum Learning for Knowledge Distillation,065.pdf
6758749,Blokus Bot (Botkus? Blobotkus?),171.pdf,Investigating Emergent Behavior from Socially Inspired Reward Parameters in Iterated Prisoner's Dilemma,265.pdf
6545704,Finding the 근 (Root) of 바둑 (Go),264.pdf,Multi-Stage Adaptive Inference with Cascaded Models: A POMDP Formulation,064.pdf
6504266,Optimizing Strategy for Catching Pokémon in the Safari Zone Minigame,124.pdf,Navigating drones in an 3D minefield,193.pdf
6504505,TikTokRL: Optimizing for TikTok Engagement,075.pdf,Reinforcement Learning Balancing of an Inverted Pendulum to any Degree,195.pdf
6503924,"Optimizing Retail Pricing Strategies with
Reinforcement Learning: A Markov Decision
Process Approach",089.pdf,Navigating the Lunar Surface under Low Visibility Conditions,254.pdf
6827942,Q-Learning for NFL Play Calling,154.pdf,RL & Blackjack,160.pdf
6761069,99 Ways to Win Ninety-Nine,152.pdf,INVENTORY MANAGEMENT WITH Q-LEARNING AND DEEP Q-NETWORKS,236.pdf
6773780,Robust Pre-Computed Autonomy for Enceladus Orbilander,238.pdf,Discovering Protein Complexes in Protein Interaction Networks Using Q-Learning,109.pdf
6422429,Hit or Stand?,054.pdf,ASTPrompterRoll,084.pdf
6853711,MARLCar: Single- vs. Multi-Agent Reinforcement Learning in Car Racing,188.pdf,AlphaZero Continuous for Car Lateral Control,119.pdf
6421757,Using LLMs and Monte Carlo Tree Search to Create a Human-Level Codenames Player,040.pdf,A Markovian Approach to Skincare,025.pdf
6846467,Data-Driven Hurricane Evacuation Policy Optimization,100.pdf,Optimizing Rspiratory Management using Markov Decision Processes: A Reinforcement Learning Approach on the MIMIC-IV Dataset,161.pdf
6419692,Ambulance Dispatching  with MCTS,001.pdf,Autonomous Intersection Control with Monte Carlo tree search,274.pdf
6756453,Dealer's Dilemma - Learning To Play Dealer's Choice Poker,077.pdf,Reinforcement Learning with Time Travel,248.pdf
6933858,Stock Trading is an MDP: The Importance of State Space Complexity,159.pdf,"Tiny Brains, Big Gains: Enhancing Multi-Step Reasoning in Compact Models with Branch and Bound",225.pdf
6457034, Hormone-informed Training Strategies for Female Athletes,073.pdf,Short-Term Memory for Partially Observable Markov Games,204.pdf
6452910,Evaluation of Application of Maximum Likeilhood Estimation Models to Mancala,047.pdf,Rat-AI-touille: Enhancing Multi-Agent Collaboration in Overcooked-AI with Communication,217.pdf
6421568,Maestro: Composing Music with Q-Learning,229.pdf,"Ad-ventures in Bidding: Agents, Bids, and the Fight for Clicks",145.pdf
6295049,Can We Improve Educational Intervention Timing with an MDP?,096.pdf,Optimization of Blackjack Strategies Using Reinforcement Learning,255.pdf
6751033,Model Based State-Space Planning and EKF for Manipulator Arm Drone Guidance in a Partially Observable Environment,011.pdf,"Dual-Agent Reinforcement Learning for Strategy Optimization in Gomoku
",105.pdf
6751807,UAV Swarm Control Under Uncertainty,068.pdf,"Sequential Decision-Making for Medical Image Diagnosis
under Uncertainty",125.pdf
6844319,Website Engagement,113.pdf,Adaptive Mesh Refinement through Deep Reinforcement Learning,036.pdf
6537751,Evaluating Wordle Strategies Produced by Monte Carlo Tree Search,021.pdf,Game of Wordle: AI-Driven Word Guessing,061.pdf
6842573,"TerraSafeRL: Adaptive Single-Agent, Terrain-Aware Wildfire Evacuation with Dynamic Pathfinding",019.pdf,"Winner Winner Chicken Dinner: Reward Shaping for A2C
Applied to Atari Freeway",024.pdf
6759260,Beyond Luck: Optimal Briscola Strategies via Deep Reinforcement Learning,216.pdf,Best Carpet Seller in Marrakech,149.pdf
6752704,Connect4 MCTS Implementation,060.pdf,"Optimizing Uno with Forward Search RL
",208.pdf
6843230,Can Q-Learning Learn You-Learning? Reinforcement Learning for Adaptive Quizzing,153.pdf,Viewing Hyperparameter Tuning as a Sequential Decision-Making Problem,247.pdf
6752135,"Shoot First, Think Later? Optimizing Soccer Decision Making with MDPs",273.pdf,Decision-Making for a Two-Agent Adversarial Game,262.pdf
6416644,Belief Space Planning under Uncertainty with the Cross-Entropy Method,020.pdf,Learning Cribbage using a Two-Phase Model,173.pdf
6451502,Optimal Water Allocation Strategies,272.pdf,"Slithering into Smarter Solutions: Winning at SNAKE
",260.pdf
6503661,Molecules as a Language,184.pdf,Martian Navigation POMDP,035.pdf
6842935,Spades is a POMDP,058.pdf,Euchre Bot,199.pdf
6840702,Reinforcement Wars: Will the Airline or the Passenger Win the Pricing Game?,158.pdf,Hanabi RL Agent,270.pdf
6090674,Settling the Odds: AI Agents in Catan,221.pdf,How to form a 2D murmuration? Finding the best strategy of flock formation through reinforcement learning,051.pdf
6846654,A Study of the AlphaZero Framework Applied to Xiangqi,148.pdf,Predicting Precipitation with Actor-Critic and Long Short-Term Memory,032.pdf
6857241,Monopoly Masterminds One Tile at a Time,038.pdf,Using Regression Gradients to Optimize a Simple Policy for Mahjong​,086.pdf
6846791,Optimizing Investment Decisions in the Airline Industry Using Random Forest Models,026.pdf,Imaginary-MCTS: Autonomous Computer Use Agents with Enhanced Online Planning,015.pdf
6756311,Path to 101: A Guided Q-Learning Simulation for Prime Climb,014.pdf,Q-art Pole,170.pdf
6415951,Deep Reinforcement Learning in Robot Object Stacking,233.pdf,Santa Barbara Infrastructure Planning: A Comparison of Q-Learning and Evolutionary Algorithm - Binary Tree Search Policy Optimization,018.pdf
6345325,Reinforcement Learning Agents for Settlers of Caton Using PPO,201.pdf,Solving Blackjack with An Infinite Deck with Reinforcement Learning,245.pdf
6742189,Forward Search Agent for 'Fantastic Bits' Game,179.pdf,"Parkd: Model Free RL for Truck Parking Optimization
",241.pdf
6510456,ADVERSARIAL AUTONOMOUS DRIVERS ON THE YAS MARINA CIRCUIT,093.pdf,Investigating Mathematical Reasoning in Smaller Language Models using Likelihood Ratio Policy Gradient Updates and Beam Search,198.pdf
6493862,Daily Task Scheduler,074.pdf,Single- and Multi-Agent Approaches to Equitable MELD-Driven Liver Allocation,114.pdf
6537695,"Beyond The Zillow Z-Estimate: PPO-Driven Reinforcement
Learning for Long-Term Real Estate Portfolio Management",230.pdf,The Optimal Dating Path,252.pdf
6335934,Saccading Through A Visual Scene,156.pdf,Stranded on a Grid: Modeling NYT Strands as an MDP and Solving with MCTS,218.pdf
6335680,The Dual Mandate: Modelling Inflation and Unemployment Uncertainty from Setting the Federal Funds Rate,085.pdf,Optimal Shipping Schedules for Collaborating Blood Banks,003.pdf
6448456,Play Gomoku Game with Deep Q-Networks,129.pdf,Mineswept,120.pdf
6655403,Inside the Black Box: Bayesian Networks for Contextual Bandit Modeling,067.pdf,Drone Pathfinding,144.pdf
6652644,Policy Learning for War: Modeling the Modified War Card Game with Markov Decision Processes,103.pdf,Turning Pages with Reinforcement: A Markov Decision Process Approach to Book Recommendation,091.pdf
6650044,Optimized Satellite Acquisition for Precise LEO GPS Positioning,177.pdf,"Optimizing Personalized Treatment with Markov
Decision Processes",008.pdf
5317060,Optimizing Task Completion Time Updates Using POMDPs,059.pdf,Tetris: Game Playing Under Uncertainty,031.pdf
6509685,Developing an AI Agent for Strategic Decision Making in Pokémon Battles Under Uncertainty,136.pdf,Implementing Q-learning to Optimize Preflop Poker,111.pdf
5815683,Bayesian Range Estimation in Heads-Up Poker,167.pdf,Adapting Transit Schedules to Daily Ridership Patterns using SARSA,146.pdf
6509496,Crafting Basketball Strategies with Reinforcement Learning,250.pdf,"Monte Carlo Tree Search for Drone Navigation and Collision Prevention
",042.pdf
6532354,Transportation Network Maintenance Planning with Reinforcement Learning,185.pdf,Gobbling Up Decisions: Optimizing Pacman Strategy with MDPs,099.pdf
6742067,BookFind: A Novel Recommendation Algorithm using Markov Decision Processes,244.pdf,Algorithmic Trading for IMC Prosperity 2,104.pdf
6649300,"Adaptive Path Planning for Urban Drone Delivery Under
Uncertainty",211.pdf,Decentralized Earth Observation Planning in Satellite Constellations,097.pdf
6646033,Optimizing Sea Lice Management in Norwegian Salmon Aquaculture Using Q-Learning,053.pdf,"Learning Speed-Based Binning for CMA Optimization in Walking Prosthetics
",165.pdf
5909757,Application of Reinforcement Learning in Modern Art Game,134.pdf,"Actor-Critic Meta Gradient Learning for Classic
Control Environments",223.pdf
6530125,Determining Context-Based Hard-Negative Policies with Online Planning for Biodiversity Monitoring,041.pdf,Imaginary-MCTS: Autonomous Computer Use Agents with Enhanced Online Planning,015.pdf
6503668,ORRCA: Online Reinforcement for Rapid Cache Adaptation,168.pdf,"Sequential Decision-Making for Medical Image Diagnosis
under Uncertainty",125.pdf
6226133,Robust Path-Planning for Autonomous Drones,263.pdf,Adaptive Stock Trading with Reinforcement Learning,228.pdf
6122071,Can We Improve Educational Intervention Timing with an MDP?,096.pdf,Modeling Stanford Football Betting as a Markov Decision Process,023.pdf
6335358,"Shoot First, Think Later? Optimizing Soccer Decision Making with MDPs",273.pdf,Data-Driven Hurricane Evacuation Policy Optimization,100.pdf
6509492,Looking Forward To Tetris,002.pdf,Determining Context-Based Hard-Negative Policies with Online Planning for Biodiversity Monitoring,041.pdf
6845590,Managing Power Grids During Hurricanes Using Probabilistic Decision-Making,178.pdf,Deep Q-learning on 3D 2048,261.pdf
6754868,Adaptive Mesh Refinement through Deep Reinforcement Learning,036.pdf,Reinforcement Learning Balancing of an Inverted Pendulum to any Degree,195.pdf
6452380,Predicting Precipitation with Actor-Critic and Long Short-Term Memory,032.pdf,ADVERSARIAL AUTONOMOUS DRIVERS ON THE YAS MARINA CIRCUIT,093.pdf
6456565,PokerBot,034.pdf,Deep Reinforcement Learning in Robot Object Stacking,233.pdf
6450815,Autonomous Lunar Landing with Deep Q-Learning,191.pdf,Policy Learning for War: Modeling the Modified War Card Game with Markov Decision Processes,103.pdf
